title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres
The Hunger Games,Suzanne Collins,English,4.33,7971601,196977,Scholastic Press,2008.0,374.0,Hardcover,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']"
Harry Potter and the Order of the Phoenix,J.K. Rowling,English,4.5,3150618,57202,Scholastic Inc.,2004.0,912.0,Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']"
Pride and Prejudice,Jane Austen,English,4.28,3948185,100606,Modern Library,2000.0,279.0,Paperback,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook', 'Novels', 'Historical Romance', 'Adult']"
To Kill a Mockingbird,Harper Lee,English,4.27,5696477,110338,Harper Perennial Modern Classics ,2006.0,323.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Read For School', 'Novels', 'High School']"
The Book Thief,Markus Zusak,English,4.39,2367106,136148,Alfred A. Knopf,2006.0,552.0,Hardcover,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II', 'Holocaust', 'Books About Books', 'Novels']"
Twilight,Stephenie Meyer,English,3.64,6163370,122244,"Little, Brown and Company",2006.0,498.0,Paperback,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Teen']"
Animal Farm,George Orwell,English,3.98,3579300,84421,Signet Classics,1996.0,128.0,Mass Market Paperback,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Politics', 'Literature', 'Science Fiction', 'Novels', 'Read For School']"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,English,4.61,127446,2132,Ballantine Books,2012.0,1728.0,Mass Market Paperback,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']"
The Chronicles of Narnia,C.S. Lewis,English,4.27,617468,11959,HarperCollins,2014.0,767.0,Paperback,"['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction', 'Magic']"
The Fault in Our Stars,John Green,English,4.15,4767728,173028,Dutton Books,2012.0,313.0,Hardcover,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Novels', 'Drama', 'Love']"
Gone with the Wind,Margaret Mitchell,English,4.3,1179442,23086,Warner Books,1999.0,1037.0,Mass Market Paperback,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War', 'Historical Romance', 'Novels']"
The Giving Tree,Shel Silverstein,English,4.38,1068168,21090,HarperCollins Publishers,1964.0,64.0,Hardcover,"['Childrens', 'Fiction', 'Picture Books', 'Classics', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Short Stories', 'Kids']"
The Picture of Dorian Gray,Oscar Wilde,English,4.12,1372790,57485,Random House: Modern Library,2004.0,272.0,Paperback,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels', '19th Century', 'LGBT', 'Audiobook']"
Wuthering Heights,Emily Brontë,English,3.88,1685551,54421,Norton,2002.0,464.0,Paperback,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century', 'Novels', 'Historical', 'Classic Literature']"
Harry Potter and the Philosopher’s Stone,J.K. Rowling,English,4.47,9286858,147432,Bloomsbury Publishing,1997.0,223.0,Paperback,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics', 'Adventure', 'Audiobook', 'Science Fiction Fantasy']"
Jane Eyre,Charlotte Brontë,English,4.14,1977219,57974,Penguin,2003.0,532.0,Paperback,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical', 'School', '19th Century', 'Novels']"
The Perks of Being a Wallflower,Stephen Chbosky,English,4.22,1660814,81462,MTV Books/Pocket Books,1999.0,213.0,Paperback,"['Young Adult', 'Fiction', 'Contemporary', 'Classics', 'Mental Health', 'Realistic Fiction', 'LGBT', 'Teen', 'Novels', 'High School']"
The Da Vinci Code,Dan Brown,English,3.9,2250421,52641,Anchor,2006.0,489.0,Paperback,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure', 'Novels', 'Crime', 'Adult']"
The Great Gatsby,F. Scott Fitzgerald,English,3.93,4844554,94281,Scribner,1925.0,180.0,Paperback,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels', 'Read For School', 'High School', 'American']"
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,English,4.06,537066,14149,Penguin Group (USA),2000.0,239.0,Paperback,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure', 'Middle Grade', 'Novels', '19th Century']"
Memoirs of a Geisha,Arthur Golden,English,4.14,1930615,34322,Vintage Books USA,2005.0,503.0,Mass Market Paperback,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult', 'Novels', 'Asia', 'Adult Fiction']"
The Little Prince,Antoine de Saint-Exupéry,English,4.32,1926443,60083,"Harcourt, Inc.",2000.0,96.0,Paperback,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult', 'Literature', 'Middle Grade', 'French Literature']"
The Lightning Thief,Rick Riordan,English,4.29,2697694,85130,Disney Hyperion Books,2006.0,377.0,Paperback,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Greek Mythology', 'Urban Fantasy', 'Audiobook']"
Divergent,Veronica Roth,English,4.15,3710165,116890,Katherine Tegen Books,2012.0,487.0,Paperback,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Action', 'Post Apocalyptic']"
Les Misérables,Victor Hugo,English,4.2,770116,21405,Penguin,1987.0,1463.0,Mass Market Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature', 'Romance', 'Classic Literature']"
Crime and Punishment,Fyodor Dostoevsky,English,4.26,821808,30615,Penguin,2002.0,671.0,Paperback,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', 'Crime', '19th Century', 'School']"
Lord of the Flies,William Golding,English,3.69,2741211,50594,Penguin Books ,1999.0,182.0,Paperback,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']"
Romeo and Juliet,William Shakespeare,English,3.74,2470984,27766,Washington Square Press,2002.0,281.0,Mass Market Paperback,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School', 'Literature', 'High School', 'Poetry']"
Anne of Green Gables,L.M. Montgomery,English,4.3,919431,34594,Signet,2003.0,320.0,Mass Market Paperback,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook', 'Historical', 'Canada', 'Coming Of Age']"
City of Bones,Cassandra Clare,English,4.08,1916701,72374,Margaret K. McElderry Books,2007.0,485.0,Hardcover,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Vampires', 'Supernatural', 'Young Adult Fantasy', 'Magic']"
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,4.23,1740918,40635,Del Rey,2007.0,193.0,Paperback,"['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']"
The Help,Kathryn Stockett,English,4.47,2602699,88542,G.P. Putnam's Sons,2009.0,464.0,Hardcover,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Classics', 'Contemporary', 'Audiobook', 'Book Club', 'Chick Lit']"
Ender’s Game,Orson Scott Card,English,4.31,1310061,47621,Tor,2004.0,324.0,Mass Market Paperback,"['Science Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War', 'Audiobook', 'Adventure', 'Fiction']"
Charlotte's Web,E.B. White,English,4.19,1726090,22197,HarperCollinsPublishers,2001.0,184.0,Paperback,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Young Adult', 'Middle Grade', 'Animals', 'School', 'Chapter Books', 'Juvenile']"
Dracula,Bram Stoker,English,4.01,1176271,39545,Norton,1986.0,488.0,Paperback,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', '19th Century']"
Of Mice and Men,John Steinbeck,English,3.88,2398425,46916,Penguin Books,2002.0,103.0,Paperback,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Historical']"
The Alchemist,Paulo Coelho,English,3.9,2796002,109136,HarperOne,2014.0,182.0,Paperback,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help', 'Literature', 'Adventure', 'Audiobook']"
The Catcher in the Rye,J.D. Salinger,English,3.81,3318427,76954,Back Bay Books,2001.0,277.0,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'High School', 'American', 'Read For School']"
Brave New World,Aldous Huxley,English,3.99,1744250,42552,HarperPerennial / Perennial Classics,1998.0,268.0,Paperback,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School', 'Fantasy', 'Philosophy', 'Audiobook']"
One Hundred Years of Solitude,Gabriel García Márquez,English,4.11,912355,41123,Harper,2003.0,417.0,Mass Market Paperback,"['Fiction', 'Classics', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Spanish Literature', 'Literary Fiction', 'Latin American']"
Fahrenheit 451,Ray Bradbury,English,3.97,2218568,66309,Simon & Schuster,2011.0,194.0,Kindle Edition,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Audiobook', 'Adult']"
The Time Traveler's Wife,Audrey Niffenegger,English,3.99,1736746,51781,Zola Books,2013.0,537.0,ebook,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']"
A Thousand Splendid Suns,Khaled Hosseini,English,4.42,1429634,70275,Riverhead Books,2007.0,372.0,Hardcover,"['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'Classics', 'War', 'Adult', 'Drama', 'Adult Fiction']"
The Princess Bride,William Goldman,English,4.26,870719,24239,Ballantine Books,2003.0,456.0,Paperback,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Comedy', 'Science Fiction Fantasy', 'Fairy Tales']"
The Secret Garden,Frances Hodgson Burnett,English,4.15,1098878,25756,Children's Classics,1998.0,331.0,Hardcover,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy', 'Historical', 'Literature', 'Audiobook']"
A Game of Thrones,George R.R. Martin,English,4.44,2357291,60620,Bantam,2005.0,835.0,Mass Market Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook', 'Dragons', 'Novels']"
The Outsiders,S.E. Hinton,English,4.12,1222046,42873,Puffin Books (US/CAN),1997.0,192.0,Mass Market Paperback,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Childrens']"
A Wrinkle in Time,Madeleine L'Engle,English,3.99,1153949,37824,Square Fish,2017.0,218.0,Paperback,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']"
The Odyssey,Homer,English,3.8,1018259,17074,Penguin Classics ,2006.0,541.0,Paperback,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature', 'Adventure', 'Read For School', 'Historical Fiction']"
Little Women,Louisa May Alcott,English,4.14,2087294,45061,Signet Classics,2004.0,449.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classic Literature', 'Audiobook']"
1984,George Orwell,English,4.19,4206469,101940,Houghton Mifflin Harcourt,2013.0,298.0,Kindle Edition,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']"
The Adventures of Huckleberry Finn,Mark Twain,English,3.83,1237430,18522,Penguin Classics,2002.0,327.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'High School', 'Read For School']"
The Lovely Bones,Alice Sebold,English,3.84,2268932,44707,"Little, Brown and Company",2006.0,372.0,Mass Market Paperback,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller', 'Adult Fiction', 'Adult', 'Drama']"
Where the Wild Things Are,Maurice Sendak,English,4.24,963898,13426,Red Fox,2000.0,38.0,Paperback,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Monsters']"
