title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
The Hunger Games,Suzanne Collins,English,4.33,"7,971,601","196,977",Scholastic Press,2008.0,374.0,Hardcover,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Audiobook']",https://www.goodreads.com/book/show/2767052-the-hunger-games
Harry Potter and the Order of the Phoenix,J.K. Rowling,English,4.5,"3,150,618","57,202",Scholastic Inc.,2004.0,912.0,Paperback,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Pride and Prejudice,Jane Austen,English,4.28,"3,948,185","100,606",Modern Library,2000.0,279.0,Paperback,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook', 'Novels', 'Historical Romance', 'Adult']",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee,English,4.27,"5,696,477","110,338",Harper Perennial Modern Classics ,2006.0,323.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Read For School', 'Novels', 'High School']",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
The Book Thief,Markus Zusak,English,4.39,"2,367,106","136,148",Alfred A. Knopf,2006.0,552.0,Hardcover,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II', 'Holocaust', 'Books About Books', 'Novels']",https://www.goodreads.com/book/show/19063.The_Book_Thief
Twilight,Stephenie Meyer,English,3.64,"6,163,370","122,244","Little, Brown and Company",2006.0,498.0,Paperback,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Urban Fantasy', 'Teen']",https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,George Orwell,English,3.98,"3,579,300","84,421",Signet Classics,1996.0,128.0,Mass Market Paperback,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'School', 'Politics', 'Literature', 'Science Fiction', 'Novels', 'Read For School']",https://www.goodreads.com/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,English,4.61,"127,446","2,132",Ballantine Books,2012.0,1728.0,Mass Market Paperback,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Magic']",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Chronicles of Narnia,C.S. Lewis,English,4.27,"617,468","11,959",HarperCollins,2014.0,767.0,Paperback,"['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction', 'Magic']",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green,English,4.15,"4,767,728","173,028",Dutton Books,2012.0,313.0,Hardcover,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Novels', 'Drama', 'Love']",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
Gone with the Wind,Margaret Mitchell,English,4.3,"1,179,442","23,086",Warner Books,1999.0,1037.0,Mass Market Paperback,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Civil War', 'Historical Romance', 'Novels']",https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
The Giving Tree,Shel Silverstein,English,4.38,"1,068,168","21,090",HarperCollins Publishers,1964.0,64.0,Hardcover,"['Childrens', 'Fiction', 'Picture Books', 'Classics', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Short Stories', 'Kids']",https://www.goodreads.com/book/show/370493.The_Giving_Tree
The Picture of Dorian Gray,Oscar Wilde,English,4.12,"1,372,790","57,485",Random House: Modern Library,2004.0,272.0,Paperback,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels', '19th Century', 'LGBT', 'Audiobook']",https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
Wuthering Heights,Emily Brontë,English,3.88,"1,685,551","54,421",Norton,2002.0,464.0,Paperback,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', '19th Century', 'Novels', 'Historical', 'Classic Literature']",https://www.goodreads.com/book/show/6185.Wuthering_Heights
